"ID","frame","dates","direction","track","ifgm_url"
"us6000jqxc","173A_05151_131313","20230127_20230304","A","173","https://gws-access.jasmin.ac.uk/public/nceo_geohazards/LiCSAR_products/173/173A_05151_131313/interferograms/20230127_20230304/20230127_20230304.geo.diff_pha.tif"
"us6000jqxc","173A_05151_131313","20230220_20230304","A","173","https://gws-access.jasmin.ac.uk/public/nceo_geohazards/LiCSAR_products/173/173A_05151_131313/interferograms/20230220_20230304/20230220_20230304.geo.diff_pha.tif"
"us6000jqxc","173A_05151_131313","20230115_20230304","A","173","https://gws-access.jasmin.ac.uk/public/nceo_geohazards/LiCSAR_products/173/173A_05151_131313/interferograms/20230115_20230304/20230115_20230304.geo.diff_pha.tif"
"us6000jqxc","173A_05151_131313","20230208_20230328","A","173","https://gws-access.jasmin.ac.uk/public/nceo_geohazards/LiCSAR_products/173/173A_05151_131313/interferograms/20230208_20230328/20230208_20230328.geo.diff_pha.tif"
"us6000jqxc","173A_05151_131313","20230220_20230328","A","173","https://gws-access.jasmin.ac.uk/public/nceo_geohazards/LiCSAR_products/173/173A_05151_131313/interferograms/20230220_20230328/20230220_20230328.geo.diff_pha.tif"
"us6000jqxc","173A_05151_131313","20230304_20230328","A","173","https://gws-access.jasmin.ac.uk/public/nceo_geohazards/LiCSAR_products/173/173A_05151_131313/interferograms/20230304_20230328/20230304_20230328.geo.diff_pha.tif"
"us6000jqxc","173A_05151_131313","20230127_20230328","A","173","https://gws-access.jasmin.ac.uk/public/nceo_geohazards/LiCSAR_products/173/173A_05151_131313/interferograms/20230127_20230328/20230127_20230328.geo.diff_pha.tif"
"us6000jqxc","173A_05350_131313","20230220_20230328","A","173","https://gws-access.jasmin.ac.uk/public/nceo_geohazards/LiCSAR_products/173/173A_05350_131313/interferograms/20230220_20230328/20230220_20230328.geo.diff_pha.tif"
"us6000jqxc","173A_05350_131313","20230127_20230328","A","173","https://gws-access.jasmin.ac.uk/public/nceo_geohazards/LiCSAR_products/173/173A_05350_131313/interferograms/20230127_20230328/20230127_20230328.geo.diff_pha.tif"
"us6000jqxc","173A_05350_131313","20230208_20230328","A","173","https://gws-access.jasmin.ac.uk/public/nceo_geohazards/LiCSAR_products/173/173A_05350_131313/interferograms/20230208_20230328/20230208_20230328.geo.diff_pha.tif"
"us6000jqxc","173A_05350_131313","20230304_20230328","A","173","https://gws-access.jasmin.ac.uk/public/nceo_geohazards/LiCSAR_products/173/173A_05350_131313/interferograms/20230304_20230328/20230304_20230328.geo.diff_pha.tif"
